number,priority,short_description,severity,sys_created_on,incident_state,u_requested_by.location,u_requested_by.u_region,u_requested_by.u_country_details.name,u_requested_by.location.name,u_requested_by.city
INC4169280,2 - High,DIS - HAE - Plasma type update ,3 - Low,3/19/2026 6:47,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169281,2 - High,DIS - Unable to ready labels ,3 - Low,3/19/2026 6:47,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169282,2 - High,DIS - HAE - Plasma Type update,3 - Low,3/19/2026 6:49,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169288,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 6:56,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169290,2 - High,DIS - HAE - Volumes update,3 - Low,3/19/2026 6:58,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169291,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/19/2026 7:01,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169295,2 - High,DIS - DXT - Plasma Type update,3 - Low,3/19/2026 7:02,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169297,2 - High,DIS - EOD - Not all accounted for,3 - Low,3/19/2026 7:06,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169306,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/19/2026 7:15,Resolved,USA - OK - Tulsa,AMERICAS,United States of America,USA - OK - Tulsa,Tulsa
INC4169313,2 - High,DIS - DXT - Plasma Type update,3 - Low,3/19/2026 7:21,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169315,2 - High,DIS - HAE - Plasma Type update,3 - Low,3/19/2026 7:24,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169316,2 - High,DIS - HAE - Volumes update ,3 - Low,3/19/2026 7:24,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169317,2 - High,DIS - DXT - Plasma type update ,3 - Low,3/19/2026 7:25,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169319,2 - High,DIS - EOD - Arm/Machine Update ,3 - Low,3/19/2026 7:25,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169322,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 7:27,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169323,2 - High,DIS - HAE - Plasma Type update,3 - Low,3/19/2026 7:27,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169326,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 7:30,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169330,2 - High,DIS - EOD - Plasma type update,3 - Low,3/19/2026 7:31,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169334,2 - High,DIS - HAE - Plasma Type update,3 - Low,3/19/2026 7:35,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169338,2 - High,DIS - HAE - Volumes update ,3 - Low,3/19/2026 7:37,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169343,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 7:40,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169355,2 - High,DIS - DXT - Plasma type update ,3 - Low,3/19/2026 7:45,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169363,2 - High, DIS - DXT - Plasma type update,3 - Low,3/19/2026 7:51,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169364,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 7:51,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169368,2 - High,DIS - DXT - Volumes update,3 - Low,3/19/2026 7:54,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169377,2 - High,DIS - HAE - Plasma type update ,3 - Low,3/19/2026 8:02,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169384,2 - High,DIS - EOD - Not all accounted for,3 - Low,3/19/2026 8:07,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169392,2 - High,DIS - DXT - Plasma Type update,3 - Low,3/19/2026 8:11,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169396,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/19/2026 8:15,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169405,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 8:25,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169406,2 - High,DIS - EOD - Volumes update ,3 - Low,3/19/2026 8:29,Resolved,USA - TX - Universal City,AMERICAS,United States of America,USA - TX - Universal City,Universal City
INC4169413,2 - High,DIS - DXT - Plasma type update ,3 - Low,3/19/2026 8:36,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169418,2 - High,DIS - DXT - Plasma type update ,3 - Low,3/19/2026 8:40,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169424,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/19/2026 8:45,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169427,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/19/2026 8:53,Resolved,USA - CA - Temecula,AMERICAS,United States of America,USA - CA - Temecula,Temecula
INC4169429,2 - High,DIS - EOD - Volumes update ,3 - Low,3/19/2026 8:56,Resolved,USA - ID - Boise,AMERICAS,United States of America,USA - ID - Boise,Boise
INC4169431,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/19/2026 9:00,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169449,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 9:18,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169450,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 9:18,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169476,2 - High,DIS - DXT - Plasma type update ,3 - Low,3/19/2026 9:39,Resolved,USA - CA - Temecula,AMERICAS,United States of America,USA - CA - Temecula,Temecula
INC4169477,2 - High,\GMSGQMI-CMO-LAMBDA-JOBS\030-LAKE-LAMBDA-CMO-SHIRE-SAP\\030-RUN-LAKE-LAMBDA-CMO-SHIRE-SAP has failed,3 - Low,3/19/2026 9:39,Resolved,,AMERICAS,United States of America,,
INC4169480,2 - High,\GMSGQMI-CMO-LAMBDA-JOBS\030-LAKE-LAMBDA-CMO-TAKEDA-SAP\\030-RUN-LAKE-LAMBDA-CMO-TAKEDA-SAP has failed,3 - Low,3/19/2026 9:39,Resolved,,AMERICAS,United States of America,,
INC4169481,2 - High,\GMSGQMI-CMO-LAMBDA-JOBS\030-LAKE-LAMBDA-CMO-SHIRE-STABILITY\\030-RUN-LAKE-LAMBDA-CMO-SHIRE-STABILITY has failed,3 - Low,3/19/2026 9:39,Resolved,,AMERICAS,United States of America,,
INC4169483,2 - High,\GMSGQMI-CMO-LAMBDA-JOBS\030-LAKE-LAMBDA-CMO-TAKEDA-STABILITY\\030-RUN-LAKE-LAMBDA-CMO-TAKEDA-STABILITY has failed,3 - Low,3/19/2026 9:39,Resolved,,AMERICAS,United States of America,,
INC4169489,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/19/2026 9:48,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169490,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 9:49,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169500,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 9:58,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169506,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/19/2026 10:04,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169514,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/19/2026 10:13,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169535,2 - High,\GMSGQMI-CMO\\040-BDM-WF-GMSGQMI-CMO-LAKE-TO-LAKE-TXN-CMO-STABILITY-CHANGE-LOG-GLBL has failed,3 - Low,3/19/2026 10:38,Resolved,,AMERICAS,United States of America,,
INC4169542,2 - High,\NEW-COPY-OF-CRMD-VVA-REP-LICENSE-REPORT\02-STG-VVA-LICENSE-REPORT\\010-tf_VVA_STG_VVA_REP_LICENSE_REPORT has failed,3 - Low,3/19/2026 10:52,Resolved,,AMERICAS,United States of America,,
INC4169560,2 - High,DIS - EOD - EDQ Rereview ,3 - Low,3/19/2026 11:20,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169572,2 - High,\GMSGQMI-CMO\\050-BDM-WF-GMSGQMI-CMO-LAKE-TO-LAKE-TXN-CMO-ERP-DATA-GLBL has failed,3 - Low,3/19/2026 11:42,Resolved,,AMERICAS,United States of America,,
INC4169593,2 - High,\SFTP-TO-FROM-OTAS-FSX\MES-API\FSX-TO-OTAS\SFTP-FSX-TO-OTAS-MES-API-1945\\010-SFTP-FSX-TO-OTAS-MES-API-1945 has failed,3 - Low,3/19/2026 12:17,Resolved,,AMERICAS,United States of America,,
INC4169594,2 - High,\SFTP-TO-FROM-OTAS-FSX\MES-F34\FSX-TO-OTAS\SFTP-FSX-TO-OTAS-MES-F34-1898\\010-SFTP-FSX-TO-OTAS-MES-F34-1898 has failed,3 - Low,3/19/2026 12:17,Resolved,,AMERICAS,United States of America,,
INC4169595,2 - High,\SFTP-TO-FROM-OTAS-FSX\MES-F36\FSX-TO-OTAS\SFTP-FSX-TO-OTAS-MES-F36-1946\\010-SFTP-FSX-TO-OTAS-MES-F36-1946 has failed,3 - Low,3/19/2026 12:17,Resolved,,AMERICAS,United States of America,,
INC4169596,2 - High,\GMSGQMI-CMO\\050-BDM-WF-GMSGQMI-CMO-LAKE-TO-LAKE-TXN-CMO-LIMS-DATA-GLBL has failed,3 - Low,3/19/2026 12:18,Resolved,,AMERICAS,United States of America,,
INC4169612,2 - High,\GMSGQMI-GLIMS-CONNECTION\\010-GMSGQMI-GLIMS-CONNECTION-TEST has failed,3 - Low,3/19/2026 12:34,Resolved,,AMERICAS,United States of America,,
INC4169876,2 - High,DIS - Unable to ready labels,3 - Low,3/19/2026 16:35,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169902,2 - High,<OTHER>\TIDAL-CHECK-US-API-EVERY-30-MIN\\010-GET-DATA-FROM-API has failed,3 - Low,3/19/2026 17:18,Resolved,,AMERICAS,United States of America,,
INC4169961,2 - High,DIS - HAE - Plasma type update,3 - Low,3/19/2026 18:12,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170006,2 - High,DIS - SPE Issue,3 - Low,3/19/2026 18:48,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170013,2 - High,DIS - HAE - Data Missing,3 - Low,3/19/2026 18:58,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170053,2 - High,US | Lexington & Cambridge | Scientific Informatics Lab Computing - Repeated device and session disconnects during operation,3 - Low,3/19/2026 19:32,Resolved,USA - MA - Cambridge - Kendall Square - 650,AMERICAS,United States of America,USA - MA - Cambridge - Kendall Square - 650,Cambridge
INC4170058,2 - High,DIS - Remove Box from BOL,3 - Low,3/19/2026 19:34,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170068,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 19:42,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170074,2 - High,Can't transfer Takeda phone number to personal phone number.,3 - Low,3/19/2026 19:47,Resolved,USA - MA - Cambridge - Kendall Square - 650,AMERICAS,United States of America,USA - MA - Cambridge - Kendall Square - 650,Cambridge
INC4170075,2 - High,DIS - Physical Issue,3 - Low,3/19/2026 19:47,Resolved,USA - VA - Harrisonburg,AMERICAS,United States of America,USA - VA - Harrisonburg,Harrisonburg
INC4170077,2 - High,DIS - HAE - Data Missing,3 - Low,3/19/2026 19:49,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170086,2 - High,<CONNECTION-INTERNAL>USVGAIICSP006 Agent/Adapter disconnected in USA Tidal Production at 3/19/2026 10:27:11 AM EST,3 - Low,3/19/2026 19:57,Resolved,,AMERICAS,United States of America,,
INC4170097,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 20:03,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170119,2 - High,DIS - Deferral Issue,3 - Low,3/19/2026 20:17,Resolved,USA - TX - North Richland Hills,AMERICAS,United States of America,USA - TX - North Richland Hills,North Richland Hills
INC4170146,2 - High,DIS - Deferral Issue,3 - Low,3/19/2026 20:35,Resolved,USA - TX - North Richland Hills,AMERICAS,United States of America,USA - TX - North Richland Hills,North Richland Hills
INC4170209,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 21:17,Resolved,USA - FL - Kissimmee,AMERICAS,United States of America,USA - FL - Kissimmee,Kissimmee
INC4170219,2 - High,DIS - HAE - Nomogram update,3 - Low,3/19/2026 21:26,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170222,2 - High,DIS - Unable to save measurements,3 - Low,3/19/2026 21:29,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170224,2 - High,\VEEVA_JAPAN\VEEVA_UPLOAD\MC_ACTIVITY_INTERFACE_MEDPEER_MMI_LOG_1_AM_JST\SFTP_MEDPEER_MMI_LOG_GS_IICS\\040-RENAME-SRC-FILES-MEDPEER-MMI-0100 has failed,3 - Low,3/19/2026 21:31,Resolved,,AMERICAS,United States of America,,
INC4170229,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 21:38,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170239,2 - High,\VEEVA_JAPAN\VEEVA_UPLOAD\MC_ACTIVITY_INTERFACE_MEDPEER_MMI_LOG_1_AM_JST\\010-FF_LDG_MEDPEER_MMI_LOG has failed,3 - Low,3/19/2026 21:45,Resolved,,AMERICAS,United States of America,,
INC4170244,2 - High,\NEW-COPY-OF-HRIS1D:WORKDAY-TO-NORWAY-ADITRO-W2\\005-TDL_TED_RMV_WKDY_NORWAY-ADITRO-FILES-GS has failed,3 - Low,3/19/2026 21:50,Resolved,,AMERICAS,United States of America,,
INC4170285,2 - High,\GMSGQMI-DISCOVERANT-EDB-LAMBDA-JOBS\020-CONTRACT-LAMBDA-EDB-PD-AG-D-DATA\\020-RUN-CONTRACT-CHECK-LAMBDA-GMSGQMI-EDB-PD-AG-D-DATA has failed,3 - Low,3/19/2026 22:20,Resolved,,AMERICAS,United States of America,,
INC4170288,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 22:23,Resolved,USA - TX - Irving,AMERICAS,United States of America,USA - TX - Irving,Irving
INC4170306,2 - High,DIS - HAE - Plasma type update,3 - Low,3/19/2026 22:34,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170329,2 - High,\GMSGQMI-DISCOVERANT-EDB-LAMBDA-JOBS\020-CONTRACT-LAMBDA-EDB-PD-AG-LIMITS\\020-RUN-CONTRACT-CHECK-LAMBDA-GMSGQMI-EDB-PD-AG-LIMITS has failed,3 - Low,3/19/2026 23:02,Resolved,,AMERICAS,United States of America,,
INC4170339,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 23:09,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170344,2 - High,DIS - Entered the wrong weight,3 - Low,3/19/2026 23:14,Resolved,USA - IL - Joliet,AMERICAS,United States of America,USA - IL - Joliet,Joliet
INC4170348,2 - High,DIS - Unit Processing,3 - Low,3/19/2026 23:15,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170358,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 23:22,Resolved,USA - UT - Saint George - Dixie Dr,AMERICAS,United States of America,USA - UT - Saint George - Dixie Dr,St George
INC4170403,2 - High,DIS - Unit Processing,3 - Low,3/19/2026 23:50,Resolved,USA - MD - Towson,AMERICAS,United States of America,USA - MD - Towson,Towson
INC4170409,2 - High,DIS - Unable to ready labels,3 - Low,3/19/2026 23:51,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170421,2 - High,DIS - Unit Processing,3 - Low,3/19/2026 23:58,Resolved,USA - MO - Springfield - McCurry Ave,AMERICAS,United States of America,USA - MO - Springfield - McCurry Ave,Springfield
INC4170447,2 - High,DPS - Payment Issue,3 - Low,3/20/2026 0:19,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170460,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 0:26,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170464,2 - High,DIS - HAE - Plasma type update,3 - Low,3/20/2026 0:29,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170506,2 - High,DIS - Boxing Issue,3 - Low,3/20/2026 1:08,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170509,2 - High,\NEW-COPY-OF-CRMD-VVA-ACCOUNT-MERGE\04-ACCOUNT-VEEVA-MERGE\\040-dst_STG_VVA_MERGE_ADDRESS_UPD has failed,3 - Low,3/20/2026 1:09,Resolved,,AMERICAS,United States of America,,
INC4170512,2 - High,\NEW-COPY-OF-HRIS1D:WORKDAY-TO-GERMANY-DISABILITIES-W2\\005-TDL_TED_RMV_WKDY_DISABILITIES_GS has failed,3 - Low,3/20/2026 1:15,Resolved,,AMERICAS,United States of America,,
INC4170514,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 1:17,Resolved,USA - MA - Worcester,AMERICAS,United States of America,USA - MA - Worcester,Worcester
INC4170532,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 1:44,Resolved,USA - MA - Worcester,AMERICAS,United States of America,USA - MA - Worcester,Worcester
INC4170540,2 - High,DIS - Unable to print label,3 - Low,3/20/2026 1:57,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170541,2 - High,DIS - Unable to print label,3 - Low,3/20/2026 1:57,Resolved,USA - ND - West Fargo,AMERICAS,United States of America,USA - ND - West Fargo,West Fargo
INC4170542,2 - High,DIS - EDQ Issue,3 - Low,3/20/2026 1:57,Resolved,USA - TX - Universal City,AMERICAS,United States of America,USA - TX - Universal City,Universal City
INC4170544,2 - High,DIS - Unable to print labels,3 - Low,3/20/2026 2:00,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170561,2 - High,\NEW-COPY-OF-HRIS1D:WORKDAY-TO-GERMANY-DISABILITIES-W2\\030-TDL_TED_DISABILITIES_FILE_CHECK has failed,3 - Low,3/20/2026 2:14,Resolved,,AMERICAS,United States of America,,
INC4170585,2 - High,\NEW-COPY-OF-HRIS1D:WORKDAY-TO-GERMANY-ORG-ASSIGNMENTS-W2\\030-TDL_TED_ASSIGNMENTS_FILE_CHECK has failed,3 - Low,3/20/2026 2:27,Resolved,,AMERICAS,United States of America,,
INC4170605,2 - High,<OTHER>AppDynamics has detected a problem with Machine Instance  01049-DEFRATAGCMP001. CPU utilization is too high,3 - Low,3/20/2026 2:41,Resolved,,AMERICAS,United States of America,,
INC4170643,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 3:32,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170645,2 - High,DIS - HAE - Volumes update,3 - Low,3/20/2026 3:32,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170648,2 - High,DIS - Physical Issue,3 - Low,3/20/2026 3:37,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170662,2 - High,DIS - Unit Processing,3 - Low,3/20/2026 3:58,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170670,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 4:07,Resolved,USA - CA - Fresno,AMERICAS,United States of America,USA - CA - Fresno,Fresno
INC4170673,2 - High,DIS - HAE - Arm/Machine Update,3 - Low,3/20/2026 4:14,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170682,2 - High,\GMSGQEHS-CAPA-LAMBDA-JOBS\030-LAKE-LAMBDA-CAPA-DATE-DETAILS\\030-RUN-LAKE-LAMBDA-GMSGQEHS-CAPA-DATE-DETAILS has failed,3 - Low,3/20/2026 4:32,Resolved,,AMERICAS,United States of America,,
INC4170690,2 - High,\NEW-COPY-OF-CRMD-USBU-ADDRS-ALIGNMENT-QC-WKLY\03-STG-VVA-ADDRESS_VOD__C-UPDATE\\040-ADDRESS_UPDATE has failed,3 - Low,3/20/2026 4:38,Resolved,,AMERICAS,United States of America,,
INC4170692,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 4:44,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170694,2 - High,\GMSGQEHS-CAPA-BASE-DETAILS-GLOBALSCAPE-PUSH\\0101-CAPA-BASE-DETAIL-GLOBALSCAPE-PUSH has failed,3 - Low,3/20/2026 4:45,Resolved,,AMERICAS,United States of America,,
INC4170697,2 - High,\NEW-COPY-OF-CRMD-VVA-ACCOUNT-MERGE\05-ACCOUNT-VEEVA-POST-MERGE\\050-TF_STG_FF_OMNI_MERGE_REQUEST_ERROR_LOG_OB has failed,3 - Low,3/20/2026 4:48,Resolved,,AMERICAS,United States of America,,
INC4170698,2 - High,\NEW-COPY-OF-CRMD-MULTICHANNEL_ACCNT_MERGE_ENC\01-VVA-TO-STG-MULTICHANNEL_DATA\\020-T_VVA_STG_ACCNT_VEEVA_REP has failed,3 - Low,3/20/2026 4:49,Resolved,,AMERICAS,United States of America,,
INC4170699,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 4:51,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170704,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 4:54,Resolved,USA - MO - Springfield - McCurry Ave,AMERICAS,United States of America,USA - MO - Springfield - McCurry Ave,Springfield
INC4170705,2 - High,DIS - Unit Processing,3 - Low,3/20/2026 4:58,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170706,2 - High,DIS - DXT - Nomogram update ,3 - Low,3/20/2026 5:03,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170708,2 - High,DIS - HAE - Dreason update,3 - Low,3/20/2026 5:04,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170711,2 - High,DIS - Unit Processing,3 - Low,3/20/2026 5:09,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170714,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 5:11,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170719,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 5:16,Resolved,USA - FL - Orlando - Gold,AMERICAS,United States of America,USA - FL - Orlando - Gold,Orlando
INC4170723,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 5:18,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170727,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 5:28,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170730,2 - High,DIS - EDQ Issue ,3 - Low,3/20/2026 5:30,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170733,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 5:35,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170734,2 - High,DIS - HAE - Plasma type update ,3 - Low,3/20/2026 5:35,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170736,2 - High,DIS - EOD - Plasma type update,3 - Low,3/20/2026 5:39,Resolved,USA - VA - Harrisonburg,AMERICAS,United States of America,USA - VA - Harrisonburg,Harrisonburg
INC4170739,2 - High,DIS - EOD - Plasma type update,3 - Low,3/20/2026 5:40,Resolved,USA - AR - Fayetteville,AMERICAS,United States of America,USA - AR - Fayetteville,Fayetteville
INC4170741,2 - High,DIS - DXT - Arm/Machine Update ,3 - Low,3/20/2026 5:41,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170742,2 - High,DIS - EDQ is down,3 - Low,3/20/2026 5:42,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170743,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 5:42,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170759,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 5:50,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170762,2 - High,DIS - EOD - Plasma type update,3 - Low,3/20/2026 5:55,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170763,2 - High,DIS - EOD - Plasma type update,3 - Low,3/20/2026 5:59,Resolved,USA - FL - Casselberry,AMERICAS,United States of America,USA - FL - Casselberry,Casselberry
INC4170765,2 - High,DIS - EOD - Volumes update ,3 - Low,3/20/2026 6:00,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4170766,2 - High,DIS - DXT - Plasma type update,3 - Low,3/20/2026 6:01,Resolved,USA - AZ - Phoenix,AMERICAS,United States of America,USA - AZ - Phoenix,Phoenix
INC4170773,2 - High,DIS - HAE - Plasma type update ,3 - Low,3/20/2026 6:11,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
